forecast_date,forecaster,geo_value,weight
##################
# defaults
##################
2024-10-01, all, mp, 0
2024-10-01, windowed_seasonal, all, 0.0001
2024-10-01, windowed_seasonal_extra_sources, all, 3
2024-10-01, climate_linear, all, 0.0001
2024-10-01, linear, all, 3
2024-10-01, linearlog, all, 0
2024-10-01, climate_base, all, 2
2024-10-01, climate_geo_agged, all, 0.5
2024-10-01, climate_quantile_extrapolated, all, 0
##################
# March 5th
##################
2025-03-05, all, mp, 0
2025-03-05, windowed_seasonal, all,  0.0001
2025-03-05, windowed_seasonal_extra_sources, all, 3
2025-03-05, climate_linear, all, 0.0001
2025-03-05, linear, all, 3
2025-03-05, linearlog, all, 0
2025-03-05, climate_base, all, 2
2025-03-05, climate_geo_agged, all, 0.5
2025-03-05, climate_quantile_extrapolated, all, 0
##################
# Feb 26
##################
2025-02-26, all, mp, 0
2025-02-26, windowed_seasonal, all, 0.0001
2025-02-26, windowed_seasonal_extra_sources, all, 3
2025-02-26, climate_linear, all, 0.0001
2025-02-26, linear, all, 3
2025-02-26, linearlog, all, 0
2025-02-26, climate_base, all, 2
2025-02-26, climate_geo_agged, all, 0.5
2025-02-26, climate_quantile_extrapolated, all, 0
##################
# feb 19
##################
2025-02-19, all, mp, 0
2025-02-19, windowed_seasonal, all, 0
2025-02-19, windowed_seasonal_extra_sources, all, 3
# this is weighing the linear climate ensemble
2025-02-19, climate_linear, all, 0.0001
2025-02-19, climate_linear, ma, 3
2025-02-19, climate_linear, nh, 3
2025-02-19, climate_linear, nm, 3
2025-02-19, windowed_seasonal, pr, 3
2025-02-19, windowed_seasonal, mo, 3
2025-02-19, windowed_seasonal, wy, 3
2025-02-19, windowed_seasonal, usa, 3
# creating linear climate
2025-02-19, linear, all, 3
2025-02-19, linearlog, all, 0
2025-02-19, climate_base, all, 2
2025-02-19, climate_geo_agged, all, 0.5
2025-02-19, climate_quantile_extrapolated, all, 0
##################
# feb 12
##################
2025-02-05, all, mp, 0
2025-02-05, windowed_seasonal, all, 3
2025-02-05, windowed_seasonal_extra_sources, all, 0.0
2025-02-05, climate_linear, all, 3
2025-02-05, linear, all, 0.5
2025-02-05, linearlog, all, 0
2025-02-05, climate_base, all, 0
2025-02-05, climate_geo_agged, all, 0.0
##################
# feb 5
##################
2025-02-05, all, mp, 0
2025-02-05, windowed_seasonal, all, 3
