forecast_date,forecaster,geo_value,weight
2024-11-20, all, mp, 0
2024-11-20, linear, all, 3
2024-11-20, linearlog, all, 0
2024-11-20, climate_base, all, 2
2024-11-20, climate_geo_agged, all, 0.5
2024-11-20, climate_base, ct, 1
2024-11-20, climate_base, ct, 1
2024-11-20, climate_base, sd, 0.75
2024-11-20, climate_base, wa, 0.5
2024-11-20, climate_geo_agged, pr, 0
2024-11-20, climate_geo_agged, wa, 0.25
2024-11-20, climate_quantile_extrapolated, all, 0.5
2024-11-20, climate_quantile_extrapolated, me, 0
2024-11-20, climate_quantile_extrapolated, ok, 0
2024-11-20, climate_quantile_extrapolated, or, 0
2024-11-20, climate_quantile_extrapolated, pr, 0
2024-11-20, climate_quantile_extrapolated, sc, 0
2024-11-20, climate_quantile_extrapolated, sd, 0
2024-11-20, climate_quantile_extrapolated, vt, 0
2024-11-20, climate_quantile_extrapolated, wa, 0
2024-11-20, linear, de, 3
2024-11-20, linear, ga, 2
2024-11-20, linear, ma, 2
2024-11-20, linear, nc, 1
2024-11-20, linear, mt, 1
2024-11-20, linear, mi, 1
2024-11-20, linear, mn, 0
2024-11-20, linear, pa, 0
################################################
# minor blip, the uploaded data was wildly wrong
# this does mean the forecasts will probably be more accurate
################################################
2024-11-21, all, mp, 0
2024-11-21, linear, all, 3
2024-11-21, linearlog, all, 0
2024-11-21, climate_base, all, 2
2024-11-21, climate_geo_agged, all, 0.5
# ga needs more weight on the linear
2024-11-21, climate_base, ga, 0.5
2024-11-21, climate_geo_agged, ga, 0.25
# sc needs more weight on the linear
2024-11-21, climate_base, sc, 0.5
2024-11-21, climate_geo_agged, sc, 0.25
